Label,TotalSegments,TotalFrames,TotalMissing,MeanPctMissing,MaxPctMissing,MeanLongestConsec,MaxLongestConsec,OverallPctMissing
READ,15,1881,226,9.952,41.1,8.4,27,12.01
BIRD,13,1269,59,4.0115384615384615,19.05,2.1538461538461537,14,4.65
BOAT,13,966,26,2.6823076923076923,15.07,1.5384615384615385,11,2.69
background,355,32858,21,0.03932394366197183,5.81,0.04788732394366197,7,0.06
SMALL,16,1279,0,0.0,0.0,0.0,0,0.0
WRITE,13,799,0,0.0,0.0,0.0,0,0.0
WHICH,13,1261,0,0.0,0.0,0.0,0,0.0
WHAT,14,457,0,0.0,0.0,0.0,0,0.0
VAN,16,1292,0,0.0,0.0,0.0,0,0.0
UGLY,13,1156,0,0.0,0.0,0.0,0,0.0
TRAIN,12,1228,0,0.0,0.0,0.0,0,0.0
TIGER,13,1034,0,0.0,0.0,0.0,0,0.0
AUGUST,13,1348,0,0.0,0.0,0.0,0,0.0
BIG,16,1119,0,0.0,0.0,0.0,0,0.0
GREETINGS,14,1252,0,0.0,0.0,0.0,0,0.0
GO,15,900,0,0.0,0.0,0.0,0,0.0
FEBRUARY,13,1371,0,0.0,0.0,0.0,0,0.0
FARMING,16,1721,0,0.0,0.0,0.0,0,0.0
DRIVER,13,1627,0,0.0,0.0,0.0,0,0.0
COME,14,1185,0,0.0,0.0,0.0,0,0.0
OUR,14,997,0,0.0,0.0,0.0,0,0.0
